"","species","tag","organ","increment","age","wood"
"1","FRAM","108","fine root","fine root",2.64,"ring"
"2","FRAM","108","branch","branch",1.63,"ring"
"3","FRAM","108","root","R2",1.68,"ring"
"4","FRAM","108","root","R1",0.08,"ring"
"5","FRAM","108","root","R3",3.13,"ring"
"6","FRAM","108","root","R4",3.98,"ring"
"7","FRAM","108","stem","S2",4.57,"ring"
"8","FRAM","108","stem","S1",2.51,"ring"
"9","FRAM","108","stem","S3",6.88,"ring"
"10","FRAM","108","stem","S4",10.18,"ring"
"11","FRAM","150","fine root","fine root",10.11,"ring"
"12","FRAM","150","branch","branch",1.47,"ring"
"13","FRAM","150","root","R2",2.53,"ring"
"14","FRAM","150","root","R1",0.03,"ring"
"15","FRAM","150","root","R3",6.21,"ring"
"16","FRAM","150","root","R4",12.75,"ring"
"17","FRAM","150","stem","S2",2.96,"ring"
"18","FRAM","150","stem","S1",0,"ring"
"19","FRAM","150","stem","S3",4.11,"ring"
"20","FRAM","150","stem","S4",7.71,"ring"
"21","FRAM","167","fine root","fine root",1.26,"ring"
"22","FRAM","167","branch","branch",0,"ring"
"23","FRAM","167","root","R2",0,"ring"
"24","FRAM","167","root","R1",0,"ring"
"25","FRAM","167","root","R3",1.05,"ring"
"26","FRAM","167","root","R4",2.49,"ring"
"27","FRAM","167","stem","S2",2.34,"ring"
"28","FRAM","167","stem","S1",0.3,"ring"
"29","FRAM","167","stem","S3",4.51,"ring"
"30","FRAM","167","stem","S4",6.38,"ring"
"31","FAGR","98","fine root","fine root",11.65,"diff"
"32","FAGR","98","branch","branch",2.3,"diff"
"33","FAGR","98","root","R2",0.08,"diff"
"34","FAGR","98","root","R1",0,"diff"
"35","FAGR","98","root","R3",2.34,"diff"
"36","FAGR","98","root","R4",2.7,"diff"
"37","FAGR","98","stem","S2",2.89,"diff"
"38","FAGR","98","stem","S1",0.95,"diff"
"39","FAGR","98","stem","S3",4.46,"diff"
"40","FAGR","98","stem","S4",5.52,"diff"
"41","FAGR","99","fine root","fine root",7.31,"diff"
"42","FAGR","99","branch","branch",0.86,"diff"
"43","FAGR","99","root","R2",0,"diff"
"44","FAGR","99","root","R1",0.22,"diff"
"45","FAGR","99","root","R3",0.11,"diff"
"46","FAGR","99","root","R4",0.41,"diff"
"47","FAGR","99","stem","S2",2.6,"diff"
"48","FAGR","99","stem","S1",1.16,"diff"
"49","FAGR","99","stem","S3",4.27,"diff"
"50","FAGR","99","stem","S4",6.12,"diff"
"51","FAGR","100","fine root","fine root",8.67,"diff"
"52","FAGR","100","branch","branch",0,"diff"
"53","FAGR","100","root","R2",0.78,"diff"
"54","FAGR","100","root","R1",0,"diff"
"55","FAGR","100","root","R3",2.64,"diff"
"56","FAGR","100","root","R4",2.57,"diff"
"57","FAGR","100","stem","S2",3.37,"diff"
"58","FAGR","100","stem","S1",0.7,"diff"
"59","FAGR","100","stem","S3",6.26,"diff"
"60","FAGR","100","stem","S4",8.81,"diff"
"61","ACRU","102","fine root","fine root",13.08,"diff"
"62","ACRU","102","branch","branch",4.08,"diff"
"63","ACRU","102","root","R2",6.65,"diff"
"64","ACRU","102","root","R1",1.11,"diff"
"65","ACRU","102","root","R3",11.38,"diff"
"66","ACRU","102","root","R4",15,"diff"
"67","ACRU","102","stem","S2",0.35,"diff"
"68","ACRU","102","stem","S1",0.14,"diff"
"69","ACRU","102","stem","S3",3.54,"diff"
"70","ACRU","102","stem","S4",3.46,"diff"
"71","ACRU","103","fine root","fine root",23.06,"diff"
"72","ACRU","103","branch","branch",3.11,"diff"
"73","ACRU","103","root","R2",8.81,"diff"
"74","ACRU","103","root","R1",2.3,"diff"
"75","ACRU","103","root","R3",13.38,"diff"
"76","ACRU","103","root","R4",16.82,"diff"
"77","ACRU","103","stem","S2",10.73,"diff"
"78","ACRU","103","stem","S1",3.93,"diff"
"79","ACRU","103","stem","S3",13.33,"diff"
"80","ACRU","103","stem","S4",15.82,"diff"
"81","ACRU","124","fine root","fine root",4.27,"diff"
"82","ACRU","124","branch","branch",2.98,"diff"
"83","ACRU","124","root","R2",5.19,"diff"
"84","ACRU","124","root","R1",2.19,"diff"
"85","ACRU","124","root","R3",8.5,"diff"
"86","ACRU","124","root","R4",13.03,"diff"
"87","ACRU","124","stem","S2",8,"diff"
"88","ACRU","124","stem","S1",2.81,"diff"
"89","ACRU","124","stem","S3",12.8,"diff"
"90","ACRU","124","stem","S4",16.25,"diff"
"91","QURU","104","fine root","fine root",3.39,"ring"
"92","QURU","104","branch","branch",2.06,"ring"
"93","QURU","104","root","R2",3.43,"ring"
"94","QURU","104","root","R1",1.37,"ring"
"95","QURU","104","root","R3",4.46,"ring"
"96","QURU","104","root","R4",8.81,"ring"
"97","QURU","104","stem","S2",2.72,"ring"
"98","QURU","104","stem","S1",2.28,"ring"
"99","QURU","104","stem","S3",4.95,"ring"
"100","QURU","104","stem","S4",11.58,"ring"
"101","QURU","107","fine root","fine root",8.73,"ring"
"102","QURU","107","branch","branch",1.95,"ring"
"103","QURU","107","root","R2",22.78,"ring"
"104","QURU","107","root","R1",13.25,"ring"
"105","QURU","107","root","R3",32.45,"ring"
"106","QURU","107","root","R4",32.5,"ring"
"107","QURU","107","stem","S2",1.53,"ring"
"108","QURU","107","stem","S1",0,"ring"
"109","QURU","107","stem","S3",3.33,"ring"
"110","QURU","107","stem","S4",8.4,"ring"
"111","QURU","109","fine root","fine root",0,"ring"
"112","QURU","109","branch","branch",1.16,"ring"
"113","QURU","109","root","R2",2.09,"ring"
"114","QURU","109","root","R1",1.21,"ring"
"115","QURU","109","root","R3",3.17,"ring"
"116","QURU","109","root","R4",4.41,"ring"
"117","QURU","109","stem","S2",15.3,"ring"
"118","QURU","109","stem","S1",0.81,"ring"
"119","QURU","109","stem","S3",5.45,"ring"
"120","QURU","109","stem","S4",9.78,"ring"
